Product,Issue,Company,State,ZIP code,Complaint ID
checking savings account,managing account,bank of america national association,MA,02132,3216499
debt collection,took threatened take negative legal action,credit corp solutions inc,GA,30022,3216646
credit reporting credit repair services personal consumer reports,problem fraud alerts security freezes,experian information solutions inc,CA,914XX,3216461
student loan,dealing lender servicer,navient solutions llc,NY,103XX,3216569
debt collection,communication tactics,cmre financial services inc,TX,750XX,3215774
credit reporting credit repair services personal consumer reports,problem fraud alerts security freezes,transunion intermediate holdings inc,CA,914XX,3216460
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,IL,60164,3216298
mortgage,trouble payment process,wells fargo  company,NY,11418,3220188
money transfer virtual currency money service,unexpected fees,moneygram payment systems worldwide inc,GA,303XX,3216694
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,915XX,3216632
credit reporting credit repair services personal consumer reports,incorrect information report,id analytics inc,CA,921XX,3215759
checking savings account,managing account,wells fargo  company,CA,91505,3216728
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,92024,3216520
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,92024,3216519
debt collection,attempts collect debt owed,nationstar mortgage,AZ,853XX,3216548
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,DC,20032,3216588
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,32703,3216657
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,334XX,3216819
debt collection,communication tactics,conns inc,TX,761XX,3216032
vehicle loan lease,managing loan lease,ally financial inc,WI,54457,3217464
payday loan title loan personal loan,struggling pay loan,ad astra recovery services inc,WI,530XX,3216413
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,90002,3216531
debt collection,communication tactics,ncc business services inc,CA,926XX,3216500
debt collection,communication tactics,j j marshall  associates inc,MI,483XX,3215949
credit reporting credit repair services personal consumer reports,incorrect information report,markone holdings llc,MD,21207,3216733
credit reporting credit repair services personal consumer reports,improper use report,lcs financial services corporation,DC,20032,3216622
student loan,dealing lender servicer,aespheaa,OR,97602,3216882
debt collection,took threatened take negative legal action,cng financial corporation,TX,750XX,3216093
checking savings account,managing account,santander bank national association,CT,06811,3215782
credit card prepaid card,problem making payments,capital one financial corporation,GA,30319,3217739
credit reporting credit repair services personal consumer reports,incorrect information report,credit wise recovery solution llc,TX,788XX,3216435
credit reporting credit repair services personal consumer reports,incorrect information report,southern financial systems inc,MS,39120,3216138
payday loan title loan personal loan,getting loan,onemain financial holdings llc,AR,727XX,3216062
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,38109,3215739
debt collection,communication tactics,gc services limited partnership,IL,60803,3216089
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,FL,33009,3216696
credit reporting credit repair services personal consumer reports,incorrect information report,consumer portfolio services inc,MI,48504,3216367
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,333XX,3216776
credit reporting credit repair services personal consumer reports,incorrect information report,innovis,IL,60619,3215767
